movie,actor,rank,studio,bday,male,release_date,production_budget,domestic_gross,worldwide_gross
Man on the Moon,Jim Carrey,19,Uni.,1962-01-17,1.0,1999-12-22,52000000.0,34580635.0,47407635.0
Man on the Moon,Paul Giamatti,16,Uni.,1967-06-06,1.0,1999-12-22,52000000.0,34580635.0,47407635.0
Mandela: Long Walk to Freedom,Idris Elba,21,Wein.,1972-09-06,1.0,2013-11-29,35000000.0,8323085.0,27480015.0
Manderlay,Bryce Dallas Howard,8,IFC,1981-03-02,0.0,2006-01-27,14200000.0,74205.0,543306.0
Manderlay,Chloe Sevigny,-,IFC,1974-11-18,0.0,2006-01-27,14200000.0,74205.0,543306.0
Manderlay,Danny Glover,38,IFC,1946-07-22,1.0,2006-01-27,14200000.0,74205.0,543306.0
Manderlay,Willem Dafoe,45,IFC,1955-07-22,1.0,2006-01-27,14200000.0,74205.0,543306.0
Marci X,Damon Wayans,11,Par.,1960-09-04,1.0,2003-08-22,20000000.0,1646664.0,1646664.0
Marci X,Lisa Kudrow,12,Par.,1963-07-30,0.0,2003-08-22,20000000.0,1646664.0,1646664.0
Margaret,Anna Paquin,18,FoxS,1982-07-24,0.0,2011-09-30,14000000.0,47185.0,134972.0
Margaret,Mark Ruffalo,31,FoxS,1967-11-22,1.0,2011-09-30,14000000.0,47185.0,134972.0
Margaret,Matt Damon,38,FoxS,1970-10-08,1.0,2011-09-30,14000000.0,47185.0,134972.0
Margaret,Matthew Broderick,31,FoxS,1962-03-21,1.0,2011-09-30,14000000.0,47185.0,134972.0
Margin Call,Demi Moore,24,RAtt.,1962-11-11,0.0,2011-10-21,3400000.0,5353586.0,20433227.0
Margin Call,Jeremy Irons,16,RAtt.,1948-09-19,1.0,2011-10-21,3400000.0,5353586.0,20433227.0
Margin Call,Kevin Spacey,27,RAtt.,1959-07-26,1.0,2011-10-21,3400000.0,5353586.0,20433227.0
Margin Call,Paul Bettany,16,RAtt.,1971-05-27,1.0,2011-10-21,3400000.0,5353586.0,20433227.0
Margin Call,Penn Badgley,4,RAtt.,1986-11-01,1.0,2011-10-21,3400000.0,5353586.0,20433227.0
Margin Call,Stanley Tucci,33,RAtt.,1960-11-11,1.0,2011-10-21,3400000.0,5353586.0,20433227.0
Marie Antoinette,Jason Schwartzman,9,Sony,1980-06-26,1.0,2006-10-20,40000000.0,15962471.0,60862471.0
Marie Antoinette,Kirsten Dunst,15,Sony,1982-04-30,0.0,2006-10-20,40000000.0,15962471.0,60862471.0
Marie Antoinette,Mathieu Amalric,4,Sony,1965-10-25,1.0,2006-10-20,40000000.0,15962471.0,60862471.0
